"Addresse des Users","Port des von ...",Userinformation1,Userinformation2,Datum,Request,Response,"Port für ...",Request-URL,Browser
2a02:1210:861f:600:9447:ad6e:b7:54fa,55076,-,-,"01/Dec/2024:00:17:51 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
194.230.145.219,12728,-,-,"01/Dec/2024:01:48:03 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"-","Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.108 Mobile Safari/537.36"
2a02:168:fe4d:0:6d1:7794:8b04:4534,54260,-,-,"01/Dec/2024:01:51:26 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
52.167.144.230,40862,-,-,"01/Dec/2024:02:16:37 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9561,"-","Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
2001:1686:9202:701:3d33:f49c:b164:2dd6,52410,-,-,"01/Dec/2024:07:22:56 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15"
2001:1686:9202:701:3d33:f49c:b164:2dd6,52416,-,-,"01/Dec/2024:07:23:05 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15"
51.154.22.71,57231,-,-,"01/Dec/2024:07:51:55 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"-","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
213.55.189.146,49452,-,-,"01/Dec/2024:08:15:53 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1"
2a02:1210:861f:600:9447:ad6e:b7:54fa,53401,-,-,"01/Dec/2024:08:51:40 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
2a02:168:f013:0:cf4d:b595:d462:2668,34966,-,-,"01/Dec/2024:08:53:46 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
2a02:168:f013:0:cf4d:b595:d462:2668,60334,-,-,"01/Dec/2024:08:53:55 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
87.245.124.203,59625,-,-,"01/Dec/2024:09:20:26 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36"
66.249.81.8,52750,-,-,"01/Dec/2024:09:20:31 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9489,"-","Mozilla/5.0 (Linux; Android 7.0; SM-G930V Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)"
66.102.9.65,65498,-,-,"01/Dec/2024:09:20:31 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9489,"-","Mozilla/5.0 (Linux; Android 7.0; SM-G930V Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)"
66.102.8.161,47480,-,-,"01/Dec/2024:09:20:31 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9489,"-","Mozilla/5.0 (Linux; Android 7.0; SM-G930V Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)"
157.143.25.69,57101,-,-,"01/Dec/2024:09:23:39 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1"
2a02:1210:14fb:db00:5597:e301:1ba1:c8e8,53790,-,-,"01/Dec/2024:09:51:58 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
157.143.6.178,61418,-,-,"01/Dec/2024:09:57:29 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 17_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.7 Mobile/15E148 Safari/604.1"
2a02:21b4:b620:5300:544d:c630:828e:b8e9,57297,-,-,"01/Dec/2024:09:59:36 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.73 Mobile/15E148 Safari/604.1"
2a02:21b4:b620:5300:544d:c630:828e:b8e9,57333,-,-,"01/Dec/2024:10:08:59 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/adventskalender/Contributors.html","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.73 Mobile/15E148 Safari/604.1"
81.92.111.205,51553,-,-,"01/Dec/2024:10:39:54 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
2a04:ee41:4:a046:8cc5:53f7:893d:8364,49985,-,-,"01/Dec/2024:10:52:08 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15 Ddg/18.0"
2a02:1210:1e7a:4e00:2023:c18a:e7cd:5e49,50903,-,-,"01/Dec/2024:11:07:02 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15"
2a02:1210:8619:c100:fdf0:9106:7ae7:aa91,51462,-,-,"01/Dec/2024:11:13:14 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
62.202.183.232,59719,-,-,"01/Dec/2024:11:48:10 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
94.23.7.187,34998,-,-,"01/Dec/2024:11:56:44 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4216,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
